;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7410 are extrapolated until 7438 (12:04:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Mar 14 10:54:17 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00024056 ;ratio_vir2PMO6V (f10.8)
0.99976416 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.3598    -0.0835
      61    -0.4239    -0.0312
      64    -0.4981    -0.0016
      67    -0.4680     0.0054
      70    -0.4783    -0.0103
      73    -0.4143    -0.0222
      76    -0.3504    -0.0342
      79    -0.2864    -0.0163
      82    -0.2224    -0.0437
      85    -0.1585    -0.0098
      88    -0.2019    -0.0281
      91    -0.2434    -0.0294
      94    -0.1867    -0.0282
      97    -0.2020    -0.0121
     100    -0.2172    -0.0355
     103    -0.2325    -0.0589
     106    -0.1890    -0.0621
     109    -0.1259    -0.0200
     112    -0.1480     0.0165
     115    -0.2096    -0.0260
     118    -0.1513    -0.0670
     121    -0.0930    -0.0551
     124    -0.1339    -0.0531
     127    -0.1748    -0.0472
     130    -0.1014    -0.0331
     133    -0.1001    -0.0569
     136    -0.1216    -0.0795
     139    -0.1431    -0.0948
     142    -0.1336    -0.0902
     145    -0.1241    -0.0791
     148    -0.0713    -0.0724
     151    -0.0500    -0.0552
     154    -0.1019    -0.0801
     157    -0.0914    -0.0892
     160    -0.0222    -0.0579
     163    -0.0197    -0.0433
     166     0.0112    -0.0703
     169    -0.0485    -0.1035
     172     0.0017    -0.0708
     175    -0.0077    -0.0641
     178     0.0457    -0.0443
     181     0.0481    -0.0546
     184     0.0488    -0.0858
     187     0.0438    -0.0561
     190     0.0389    -0.0779
     193     0.0707    -0.0808
     196     0.1612    -0.0399
     199     0.1500    -0.0617
     202     0.1695    -0.0542
     205     0.1636    -0.0559
     208     0.2414    -0.0380
     211     0.2765     0.0011
     214     0.2729    -0.0376
     217     0.2529    -0.0597
     220     0.2258    -0.0732
     223     0.1867    -0.0893
     226     0.2541    -0.0708
     229     0.2817    -0.0594
     232     0.3004    -0.0622
     235     0.2560    -0.0778
     238     0.2843    -0.0371
     241     0.3853    -0.0355
     244     0.3780    -0.0177
     247     0.4140    -0.0272
     250     0.3984    -0.0639
     253     0.3377    -0.0631
     256     0.4547    -0.0443
     259     0.4377    -0.0010
     262     0.4236    -0.0074
     265     0.4432    -0.0314
     268     0.4332    -0.0206
     271     0.4316    -0.0364
     274     0.4636    -0.0295
     277     0.4467    -0.0156
     280     0.5056    -0.0151
     283     0.5076     0.0404
     286     0.5097     0.0959
     289     0.5118     0.1514
     292     0.5130     0.2069
     295     0.5180     0.0911
     298     0.5488     0.0490
     301     0.5444    -0.0539
     304     0.5830    -0.0964
     307     0.5768    -0.1870
     310     0.5470    -0.2440
     313     0.6193    -0.2831
     316     0.5287    -0.3867
     319     0.5575    -0.4211
     322     0.6194    -0.4510
     325     0.6649     0.3316
     328     0.5575     0.2816
     331     0.6280     0.2354
     334     0.6167     0.2229
     337     0.7006     0.1919
     340     0.6998     0.1891
     343     0.7222     0.1471
     346     0.5763     0.0752
     349     0.7741     0.0699
     352     0.6713     0.0554
     355     0.7603     0.0703
     358     0.6514     0.0404
     361     0.7772     0.0411
     364     0.8210     0.0141
     367     0.8142    -0.0078
     370     0.8073    -0.0297
     373     0.7440    -0.0455
     376     0.8130    -0.0785
     379     0.8006    -0.0515
     382     0.7669    -0.1118
     385     0.7344    -0.1308
     388     0.7675    -0.1278
     391     0.8077    -0.0963
     394     0.8157    -0.1086
     397     0.8625    -0.1102
     400     0.8288    -0.1210
     403     0.8200    -0.1460
     406     0.8708    -0.1400
     409     0.8665    -0.1808
     412     0.8820    -0.1631
     415     0.8668    -0.1568
     418     0.8151    -0.1343
     421     0.8485    -0.1325
     424     0.8747    -0.1467
     427     0.8941    -0.1104
     430     0.9135    -0.1077
     433     0.9318    -0.0920
     436     0.8623    -0.1678
     439     0.9579    -0.1021
     442     0.8199    -0.1617
     445     0.8756    -0.1547
     448     0.9313    -0.1404
     451     0.9013    -0.1804
     454     0.9730    -0.1553
     457     1.0196    -0.1816
     460     0.9470    -0.2001
     463     0.9675    -0.1691
     466     0.9772    -0.1696
     469     0.9378    -0.2154
     472     0.9387    -0.2045
     475     0.9817    -0.2006
     478     1.0247    -0.1863
     481     1.0403    -0.2211
     484     1.0001    -0.2342
     487     1.0258    -0.2387
     490     1.0515    -0.1687
     493     1.0228    -0.2552
     496     1.0013    -0.2211
     499     0.9589    -0.2944
     502     1.0436    -0.2730
     505     1.0594    -0.2494
     508     1.0686    -0.2302
     511     1.0681    -0.2668
     514     1.0676    -0.2159
     517     1.0653    -0.2326
     520     1.0630    -0.2481
     523     1.0418    -0.2581
     526     1.0890    -0.2680
     529     1.1363    -0.2779
     532     1.1328    -0.2669
     535     1.1293    -0.2643
     538     1.1258    -0.2356
     541     1.1326    -0.3030
     544     1.1962    -0.2332
     547     1.1623    -0.2642
     550     1.1285    -0.2953
     553     1.1424    -0.2624
     556     1.1461    -0.2939
     559     1.1418    -0.2503
     562     1.1585    -0.3364
     565     1.1752    -0.2852
     568     1.1187    -0.3007
     571     1.1671    -0.3109
     574     1.1438    -0.2852
     577     1.1359    -0.3258
     580     1.1506    -0.2673
     583     1.1653    -0.3153
     586     1.1818    -0.3066
     589     1.1402    -0.3255
     592     1.1799    -0.2666
     595     1.2035    -0.3039
     598     1.1785    -0.3458
     601     1.1150    -0.3330
     604     1.2464    -0.3291
     607     1.2508    -0.3442
     610     1.2553    -0.2773
     613     1.1950    -0.3223
     616     1.1868    -0.2869
     619     1.1917    -0.3092
     622     1.2904    -0.3106
     625     1.2008    -0.3243
     628     1.2818    -0.2929
     631     1.1964    -0.3273
     634     1.2478    -0.3251
     637     1.2913    -0.2750
     640     1.3348    -0.2832
     643     1.3782    -0.2715
     646     1.3067    -0.3268
     649     1.3404    -0.2688
     652     1.2128    -0.3115
     655     1.2709    -0.2708
     658     1.3290    -0.2968
     661     1.2918    -0.2833
     664     1.2498    -0.2679
     667     1.3364    -0.2738
     670     1.2661    -0.2972
     673     1.3783    -0.2674
     676     1.3168    -0.3172
     679     1.3907    -0.2434
     682     1.3283    -0.2641
     685     1.4470    -0.2567
     688     1.3741    -0.2230
     691     1.2820    -0.2713
     694     1.4157    -0.2737
     697     1.3056    -0.2807
     700     1.3294    -0.2608
     703     1.3532    -0.2370
     706     1.3962    -0.2850
     709     1.4391    -0.2457
     712     1.5317    -0.2186
     715     1.4671    -0.2564
     718     1.4740    -0.2674
     721     1.4799    -0.2300
     724     1.4857    -0.2374
     727     1.4786    -0.2446
     730     1.4715    -0.2518
     733     1.5007    -0.2436
     736     1.4736    -0.2414
     739     1.5505    -0.2489
     742     1.5933    -0.2207
     745     1.5580    -0.2305
     748     1.5355    -0.2181
     751     1.5974    -0.2447
     754     1.5702    -0.2624
     757     1.6224    -0.1815
     760     1.5889    -0.2235
     763     1.5794    -0.2342
     766     1.5825    -0.1803
     769     1.6131    -0.2539
     772     1.6758    -0.1940
     775     1.6789    -0.2400
     778     1.7106    -0.2055
     781     1.6931    -0.2214
     784     1.6787    -0.2314
     787     1.6903    -0.2356
     790     1.7019    -0.2398
     793     1.7285    -0.2264
     796     1.7439    -0.2377
     799     1.7834    -0.2129
     802     1.7834    -0.2292
     805     1.7665    -0.2629
     808     1.7476    -0.2566
     811     1.7729    -0.2219
     814     1.7982    -0.2124
     817     1.8250    -0.2434
     820     1.8519    -0.2461
     823     1.8511    -0.2474
     826     1.8502    -0.2486
     829     1.8493    -0.2499
     832     1.8973    -0.2360
     835     1.8616    -0.2322
     838     1.9680    -0.1988
     841     1.9435    -0.2730
     844     1.9190    -0.2579
     847     1.8946    -0.2679
     850     1.8701    -0.2778
     853     1.9787    -0.2557
     856     2.0065    -0.2625
     859     1.9964    -0.2813
     862     1.9036    -0.3165
     865     2.0104    -0.2652
     868     2.0762    -0.2986
     871     2.0509    -0.2680
     874     2.0304    -0.2989
     877     2.0283    -0.2680
     880     2.1065    -0.2943
     883     2.1043    -0.3125
     886     2.1616    -0.2781
     889     2.1157    -0.3248
     892     2.1254    -0.2739
     895     2.0832    -0.3094
     898     2.1119    -0.3684
     901     2.1142    -0.3515
     904     2.1165    -0.3347
     907     2.2610    -0.2775
     910     2.2592    -0.2682
     913     2.1787    -0.3585
     916     2.2474    -0.3109
     919     2.2867    -0.3072
     922     2.2417    -0.3397
     925     2.1967    -0.3516
     928     2.2079    -0.3378
     931     2.2485    -0.3268
     934     2.2890    -0.3158
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.3139     0.8856
    1048     2.2841     0.8424
    1051     2.2973     0.4506
    1054     2.3104     0.0587
    1057     2.2437     0.0546
    1060     2.3243     0.0931
    1063     2.2607     0.0595
    1066     2.3390     0.0252
    1069     2.3089     0.0677
    1072     2.3302     0.1081
    1075     2.1456     0.0633
    1078     2.3698     0.0450
    1081     2.3554     0.0467
    1084     2.3410     0.0485
    1087     2.3197     0.0201
    1090     2.3244     0.0444
    1093     2.2883     0.0319
    1096     2.3021     0.0641
    1099     2.2667     0.0925
    1102     2.4136     0.1186
    1105     2.3236     0.0252
    1108     2.3358     0.0725
    1111        NaN     0.0722
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0409
    1165     2.5129     0.0926
    1168     2.4463     0.0574
    1171     2.4736     0.0572
    1174     2.5009     0.0570
    1177     2.5282     0.0568
    1180     2.5244     0.0621
    1183     2.6256     0.1164
    1186     2.5797     0.1027
    1189     2.6240     0.1014
    1192     2.5454     0.0974
    1195     2.6150     0.0862
    1198     2.5795     0.0930
    1201     2.5918     0.1293
    1204     2.6041     0.0857
    1207     2.5220     0.0677
    1210     2.5843     0.0924
    1213     2.6286     0.0986
    1216     2.5936     0.1203
    1219     2.5831     0.0498
    1222     2.5705     0.0836
    1225     2.6747     0.0784
    1228     2.7091     0.1677
    1231     2.6706     0.1325
    1234     2.6322     0.0973
    1237     2.6691     0.1098
    1240     2.6392     0.0814
    1243     2.6992     0.1097
    1246     2.7060     0.0684
    1249     2.7411     0.1337
    1252     2.7076     0.1295
    1255     2.7042     0.0851
    1258     2.7413     0.1132
    1261     2.7528     0.1107
    1264     2.7643     0.1083
    1267     2.8014     0.1116
    1270     2.8514     0.1574
    1273     2.7900     0.0972
    1276     2.8405     0.1347
    1279     2.8953     0.1433
    1282     2.8896     0.0792
    1285     2.8840     0.1222
    1288     2.8665     0.1149
    1291     2.9185     0.1491
    1294     2.9705     0.1833
    1297     2.8964     0.1548
    1300     2.9127     0.1313
    1303     2.9057     0.1354
    1306     2.9313     0.1516
    1309     2.9767     0.1331
    1312     2.9930     0.2203
    1315     3.0092     0.1749
    1318     2.9950     0.2336
    1321     2.9846     0.2014
    1324     2.9741     0.1691
    1327     2.9586     0.1508
    1330     2.9912     0.1787
    1333     3.0209     0.1451
    1336     3.0076     0.2004
    1339     2.9535     0.0983
    1342     2.9950     0.1702
    1345     3.0366     0.1426
    1348     3.0411     0.1437
    1351     3.0639     0.1681
    1354     3.0866     0.1924
    1357     3.1145     0.1912
    1360     3.0725     0.1691
    1363     3.0716     0.1981
    1366     3.0698     0.2335
    1369     3.0392     0.2013
    1372     3.1198     0.2260
    1375     3.0086     0.2193
    1378     3.0828     0.2212
    1381     3.0822     0.2053
    1384     3.0816     0.1893
    1387     3.1076     0.1753
    1390     3.1099     0.2141
    1393     3.0688     0.1311
    1396     3.0277     0.1515
    1399     3.0623     0.1691
    1402     3.0563     0.1795
    1405     3.1379     0.2151
    1408     3.0843     0.1388
    1411     3.1060     0.1263
    1414     3.0598     0.1138
    1417     3.1040     0.1760
    1420     3.1328     0.1479
    1423     3.1377     0.1568
    1426     3.1787     0.1770
    1429     3.1562     0.1412
    1432     3.1364     0.1642
    1435     3.2043     0.1954
    1438     3.1752     0.1873
    1441     3.1518     0.1458
    1444     3.1284     0.1044
    1447     3.1928     0.1551
    1450     3.2041     0.1543
    1453     3.1933     0.1204
