;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.4289     1.8923
      61    -0.5136     1.0087
      64    -0.5169     0.3986
      67    -0.5617     0.0622
      70    -0.5675    -0.0025
      73    -0.5200    -0.0344
      76    -0.4724    -0.0558
      79    -0.4249    -0.0370
      82    -0.3774    -0.0409
      85    -0.3299    -0.0248
      88    -0.3417    -0.0457
      91    -0.2872    -0.0329
      94    -0.2417    -0.0201
      97    -0.2759    -0.0313
     100    -0.3100    -0.0425
     103    -0.3442    -0.0537
     106    -0.3183    -0.0402
     109    -0.2923    -0.0266
     112    -0.2463    -0.0222
     115    -0.3944    -0.0400
     118    -0.2728    -0.0752
     121    -0.1512    -0.0509
     124    -0.1748    -0.0878
     127    -0.1983    -0.0401
     130    -0.2219    -0.0777
     133    -0.2174    -0.0566
     136    -0.2354    -0.0305
     139    -0.2535    -0.0555
     142    -0.2261    -0.0601
     145    -0.1987    -0.0461
     148    -0.1368    -0.0637
     151    -0.1582    -0.0508
     154    -0.1555    -0.0605
     157    -0.2191    -0.0860
     160    -0.1165    -0.0881
     163    -0.2101    -0.0510
     166    -0.1917    -0.0669
     169    -0.1732    -0.0829
     172    -0.0394    -0.0437
     175    -0.3273    -0.0445
     178    -0.0497    -0.0428
     181     0.0155    -0.0363
     184    -0.0444    -0.0778
     187    -0.0381    -0.0434
     190    -0.0319    -0.0845
     193     0.0033    -0.0619
     196     0.0299    -0.0606
     199     0.0348    -0.1135
     202     0.0511    -0.0771
     205     0.1192    -0.0214
     208     0.1079    -0.0581
     211     0.1432    -0.0357
     214     0.1213    -0.0843
     217     0.1923    -0.0629
     220     0.1374    -0.0794
     223     0.1459    -0.0462
     226     0.2127    -0.0233
     229     0.2152    -0.0511
     232     0.2367    -0.0335
     235     0.2140    -0.0521
     238     0.1921    -0.0518
     241     0.2598    -0.0549
     244     0.2636    -0.0372
     247     0.2807    -0.0602
     250     0.2977    -0.0521
     253     0.2920    -0.0409
     256     0.3475    -0.0297
     259     0.3178    -0.0210
     262     0.3128    -0.0211
     265     0.3828    -0.0157
     268     0.3670    -0.0135
     271     0.4161     0.0093
     274     0.3832    -0.0316
     277     0.3330    -0.0549
     280     0.3638    -0.0379
     283     0.3947     0.0245
     286     0.4256     0.0868
     289     0.4565     0.1491
     292     0.4665     0.2115
     295     0.4947     0.1445
     298     0.4981     0.0543
     301     0.5102    -0.0445
     304     0.4916    -0.1262
     307     0.5161    -0.1751
     310     0.5109    -0.2240
     313     0.5371    -0.3064
     316     0.5236    -0.4006
     319     0.5101    -0.4063
     322     0.6070    -0.3927
     325     0.6071     0.3356
     328     0.5250     0.2886
     331     0.5265     0.1906
     334     0.5800     0.1854
     337     0.5983     0.1524
     340     0.6264     0.1662
     343     0.6710     0.1168
     346     0.6824     0.1046
     349     0.6938     0.1195
     352     0.6331     0.0554
     355     0.6724     0.0406
     358     0.6143     0.0584
     361     0.7189     0.0192
     364     0.7587     0.0151
     367     0.7439     0.0046
     370     0.7290    -0.0197
     373     0.6859    -0.1038
     376     0.7527    -0.0549
     379     0.7100    -0.0979
     382     0.7366    -0.0447
     385     0.6872    -0.1250
     388     0.7273    -0.1009
     391     0.7184    -0.1370
     394     0.7182    -0.1444
     397     0.7998    -0.1090
     400     0.7474    -0.1583
     403     0.7942    -0.1088
     406     0.8300    -0.1399
     409     0.8366    -0.1258
     412     0.8409    -0.1654
     415     0.8145    -0.1600
     418     0.7940    -0.1148
     421     0.7465    -0.1502
     424     0.8132    -0.1467
     427     0.8484    -0.1128
     430     0.8836    -0.0790
     433     0.8403    -0.1263
     436     0.8187    -0.1451
     439     0.8871    -0.1540
     442     0.7689    -0.1316
     445     0.8208    -0.1494
     448     0.8727    -0.1708
     451     0.8723    -0.1478
     454     0.8866    -0.1877
     457     0.9922    -0.1606
     460     0.8967    -0.2055
     463     0.8940    -0.1810
     466     0.8536    -0.2170
     469     0.9009    -0.1990
     472     0.9054    -0.1825
     475     0.9099    -0.1867
     478     0.9145    -0.2140
     481     0.9277    -0.1764
     484     0.9409    -0.2610
     487     0.9592    -0.2231
     490     0.9776    -0.1851
     493     0.9578    -0.2578
     496     0.9771    -0.2066
     499     0.9621    -0.2344
     502     0.9806    -0.2775
     505     0.9991    -0.2506
     508     1.0181    -0.2337
     511     1.0001    -0.2620
     514     0.9820    -0.2434
     517     0.9814    -0.2788
     520     0.9809    -0.2495
     523     0.9803    -0.2496
     526     1.0190    -0.2497
     529     1.0577    -0.2498
     532     1.0487    -0.3029
     535     1.0398    -0.2839
     538     1.0308    -0.2650
