;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.4289     1.8778
      61    -0.5136     1.0011
      64    -0.5169     0.3957
      67    -0.5617     0.0618
      70    -0.5675    -0.0025
      73    -0.5200    -0.0343
      76    -0.4724    -0.0558
      79    -0.4249    -0.0370
      82    -0.3774    -0.0408
      85    -0.3299    -0.0247
      88    -0.3417    -0.0455
      91    -0.2872    -0.0327
      94    -0.2417    -0.0199
      97    -0.2759    -0.0312
     100    -0.3100    -0.0424
     103    -0.3442    -0.0536
     106    -0.3183    -0.0401
     109    -0.2923    -0.0265
     112    -0.2463    -0.0221
     115    -0.3944    -0.0397
     118    -0.2728    -0.0750
     121    -0.1512    -0.0508
     124    -0.1748    -0.0877
     127    -0.1983    -0.0400
     130    -0.2219    -0.0776
     133    -0.2173    -0.0563
     136    -0.2354    -0.0302
     139    -0.2535    -0.0553
     142    -0.2261    -0.0599
     145    -0.1987    -0.0460
     148    -0.1367    -0.0636
     151    -0.1581    -0.0507
     154    -0.1554    -0.0604
     157    -0.2189    -0.0858
     160    -0.1163    -0.0880
     163    -0.2100    -0.0508
     166    -0.1916    -0.0668
     169    -0.1731    -0.0827
     172    -0.0392    -0.0434
     175    -0.3271    -0.0442
     178    -0.0496    -0.0427
     181     0.0156    -0.0361
     184    -0.0443    -0.0776
     187    -0.0379    -0.0433
     190    -0.0316    -0.0842
     193     0.0034    -0.0616
     196     0.0301    -0.0605
     199     0.0349    -0.1132
     202     0.0513    -0.0769
     205     0.1195    -0.0213
     208     0.1081    -0.0580
     211     0.1435    -0.0356
     214     0.1217    -0.0840
     217     0.1925    -0.0628
     220     0.1376    -0.0793
     223     0.1461    -0.0460
     226     0.2129    -0.0232
     229     0.2154    -0.0509
     232     0.2369    -0.0333
     235     0.2141    -0.0520
     238     0.1923    -0.0517
     241     0.2601    -0.0548
     244     0.2638    -0.0371
     247     0.2808    -0.0600
     250     0.2978    -0.0520
     253     0.2921    -0.0408
     256     0.3476    -0.0296
     259     0.3178    -0.0209
     262     0.3128    -0.0210
     265     0.3828    -0.0156
     268     0.3670    -0.0134
     271     0.4160     0.0095
     274     0.3831    -0.0316
     277     0.3328    -0.0549
     280     0.3637    -0.0377
     283     0.3945     0.0246
     286     0.4254     0.0869
     289     0.4563     0.1493
     292     0.4662     0.2116
     295     0.4944     0.1447
     298     0.4978     0.0543
     301     0.5097    -0.0443
     304     0.4911    -0.1262
     307     0.5157    -0.1751
     310     0.5104    -0.2240
     313     0.5365    -0.3064
     316     0.5230    -0.4006
     319     0.5094    -0.4061
     322     0.6063    -0.3927
     325     0.6063     0.3356
     328     0.5241     0.2886
     331     0.5256     0.1906
     334     0.5790     0.1854
     337     0.5974     0.1524
     340     0.6254     0.1662
     343     0.6701     0.1167
     346     0.6814     0.1045
     349     0.6927     0.1195
     352     0.6320     0.0553
     355     0.6713     0.0405
     358     0.6131     0.0584
     361     0.7176     0.0191
     364     0.7575     0.0150
     367     0.7427     0.0045
     370     0.7278    -0.0198
     373     0.6846    -0.1039
     376     0.7513    -0.0551
     379     0.7087    -0.0980
     382     0.7352    -0.0448
     385     0.6857    -0.1252
     388     0.7259    -0.1011
     391     0.7170    -0.1372
     394     0.7167    -0.1445
     397     0.7983    -0.1092
     400     0.7459    -0.1585
     403     0.7926    -0.1091
     406     0.8285    -0.1402
     409     0.8351    -0.1260
     412     0.8393    -0.1657
     415     0.8129    -0.1603
     418     0.7926    -0.1152
     421     0.7450    -0.1504
     424     0.8116    -0.1469
     427     0.8468    -0.1131
     430     0.8820    -0.0794
     433     0.8387    -0.1267
     436     0.8171    -0.1454
     439     0.8856    -0.1544
     442     0.7673    -0.1320
     445     0.8192    -0.1497
     448     0.8711    -0.1712
     451     0.8707    -0.1482
     454     0.8851    -0.1880
     457     0.9907    -0.1611
     460     0.8952    -0.2060
     463     0.8925    -0.1815
     466     0.8521    -0.2175
     469     0.8994    -0.1995
     472     0.9039    -0.1830
     475     0.9085    -0.1871
     478     0.9130    -0.2146
     481     0.9262    -0.1770
     484     0.9394    -0.2616
     487     0.9578    -0.2237
     490     0.9761    -0.1857
     493     0.9565    -0.2584
     496     0.9758    -0.2073
     499     0.9607    -0.2350
     502     0.9792    -0.2781
     505     0.9977    -0.2513
     508     1.0168    -0.2345
     511     0.9987    -0.2627
     514     0.9806    -0.2441
     517     0.9801    -0.2797
     520     0.9795    -0.2502
     523     0.9790    -0.2504
     526     1.0177    -0.2505
     529     1.0565    -0.2507
     532     1.0475    -0.3038
     535     1.0386    -0.2848
     538     1.0296    -0.2658
     541     1.0880    -0.2883
     544     1.0659    -0.2734
     547     1.0696    -0.2707
     550     1.0733    -0.2681
     553     1.0551    -0.2996
     556     1.0595    -0.2881
     559     1.0900    -0.2756
     562     1.0933    -0.2821
     565     1.0965    -0.2886
     568     1.0746    -0.2991
     571     1.1304    -0.3083
     574     1.0884    -0.2883
     577     1.0942    -0.2828
     580     1.1000    -0.3056
     583     1.1058    -0.3089
     586     1.1012    -0.2677
     589     1.1239    -0.3114
     592     1.1146    -0.3088
     595     1.1357    -0.3108
     598     1.1569    -0.2982
     601     1.0129    -0.3236
     604     1.1670    -0.3160
     607     1.1604    -0.2957
     610     1.1538    -0.2754
     613     1.1257    -0.2801
     616     1.1038    -0.2987
     619     1.1492    -0.2875
     622     1.1857    -0.3194
     625     1.1074    -0.3359
     628     1.2101    -0.2856
     631     1.2470    -0.1917
     634     1.1436    -0.3198
     637     1.1388    -0.2897
