;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7763 are extrapolated until 7789 (29:03:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sun Feb 05 17:01:55 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031745 ;ratio_vir2PMO6V (f10.8)
0.99968378 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.4289     1.8924
      61    -0.5136     1.0088
      64    -0.5169     0.3987
      67    -0.5617     0.0623
      70    -0.5675    -0.0024
      73    -0.5200    -0.0343
      76    -0.4724    -0.0558
      79    -0.4249    -0.0368
      82    -0.3774    -0.0408
      85    -0.3299    -0.0246
      88    -0.3417    -0.0455
      91    -0.2873    -0.0327
      94    -0.2418    -0.0198
      97    -0.2759    -0.0310
     100    -0.3101    -0.0422
     103    -0.3442    -0.0535
     106    -0.3183    -0.0399
     109    -0.2925    -0.0264
     112    -0.2463    -0.0220
     115    -0.3945    -0.0396
     118    -0.2729    -0.0749
     121    -0.1514    -0.0505
     124    -0.1749    -0.0876
     127    -0.1984    -0.0397
     130    -0.2219    -0.0774
     133    -0.2174    -0.0562
     136    -0.2355    -0.0301
     139    -0.2536    -0.0552
     142    -0.2262    -0.0596
     145    -0.1987    -0.0458
     148    -0.1368    -0.0632
     151    -0.1581    -0.0503
     154    -0.1555    -0.0600
     157    -0.2191    -0.0855
     160    -0.1163    -0.0876
     163    -0.2100    -0.0504
     166    -0.1916    -0.0664
     169    -0.1731    -0.0824
     172    -0.0392    -0.0431
     175    -0.3271    -0.0439
     178    -0.0496    -0.0422
     181     0.0158    -0.0356
     184    -0.0441    -0.0771
     187    -0.0378    -0.0428
     190    -0.0315    -0.0837
     193     0.0037    -0.0612
     196     0.0303    -0.0599
     199     0.0352    -0.1127
     202     0.0515    -0.0763
     205     0.1196    -0.0207
     208     0.1083    -0.0573
     211     0.1437    -0.0350
     214     0.1218    -0.0834
     217     0.1927    -0.0620
     220     0.1380    -0.0787
     223     0.1465    -0.0454
     226     0.2133    -0.0225
     229     0.2159    -0.0502
     232     0.2375    -0.0325
     235     0.2148    -0.0512
     238     0.1930    -0.0508
     241     0.2608    -0.0539
     244     0.2646    -0.0362
     247     0.2817    -0.0592
     250     0.2988    -0.0511
     253     0.2931    -0.0399
     256     0.3487    -0.0286
     259     0.3190    -0.0199
     262     0.3141    -0.0200
     265     0.3843    -0.0146
     268     0.3685    -0.0124
     271     0.4176     0.0104
     274     0.3847    -0.0305
     277     0.3346    -0.0538
     280     0.3655    -0.0366
     283     0.3964     0.0257
     286     0.4274     0.0881
     289     0.4583     0.1504
     292     0.4684     0.2128
     295     0.4967     0.1459
     298     0.5002     0.0556
     301     0.5123    -0.0430
     304     0.4938    -0.1249
     307     0.5183    -0.1737
     310     0.5131    -0.2226
     313     0.5395    -0.3051
     316     0.5259    -0.3992
     319     0.5124    -0.4047
     322     0.6095    -0.3911
     325     0.6096     0.3372
     328     0.5275     0.2902
     331     0.5291     0.1922
     334     0.5827     0.1870
     337     0.6011     0.1540
     340     0.6292     0.1679
     343     0.6739     0.1184
     346     0.6853     0.1063
     349     0.6967     0.1213
     352     0.6361     0.0572
     355     0.6755     0.0424
     358     0.6174     0.0602
     361     0.7219     0.0209
     364     0.7619     0.0170
     367     0.7471     0.0064
     370     0.7322    -0.0179
     373     0.6891    -0.1020
     376     0.7558    -0.0531
     379     0.7133    -0.0959
     382     0.7399    -0.0427
     385     0.6904    -0.1231
     388     0.7307    -0.0989
     391     0.7217    -0.1349
     394     0.7216    -0.1423
     397     0.8032    -0.1069
     400     0.7508    -0.1562
     403     0.7976    -0.1068
     406     0.8334    -0.1378
     409     0.8401    -0.1236
     412     0.8443    -0.1632
     415     0.8179    -0.1578
