;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7874 are extrapolated until 7900 (18:07:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Jun 05 11:41:25 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031593 ;ratio_vir2PMO6V (f10.8)
0.99968512 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.4290     1.8932
      61    -0.5137     1.0095
      64    -0.5172     0.3995
      67    -0.5619     0.0630
      70    -0.5676    -0.0017
      73    -0.5201    -0.0334
      76    -0.4727    -0.0547
      79    -0.4252    -0.0358
      82    -0.3777    -0.0395
      85    -0.3302    -0.0232
      88    -0.3421    -0.0441
      91    -0.2876    -0.0311
      94    -0.2422    -0.0182
      97    -0.2764    -0.0293
     100    -0.3106    -0.0404
     103    -0.3448    -0.0515
     106    -0.3189    -0.0379
     109    -0.2930    -0.0243
     112    -0.2469    -0.0198
     115    -0.3950    -0.0373
     118    -0.2734    -0.0724
     121    -0.1519    -0.0481
     124    -0.1754    -0.0849
     127    -0.1989    -0.0371
     130    -0.2224    -0.0746
     133    -0.2179    -0.0533
     136    -0.2359    -0.0270
     139    -0.2538    -0.0520
     142    -0.2263    -0.0564
     145    -0.1988    -0.0425
     148    -0.1369    -0.0598
     151    -0.1581    -0.0469
     154    -0.1554    -0.0565
     157    -0.2189    -0.0818
     160    -0.1161    -0.0839
     163    -0.2096    -0.0465
     166    -0.1911    -0.0624
     169    -0.1726    -0.0782
     172    -0.0386    -0.0389
     175    -0.3264    -0.0396
     178    -0.0487    -0.0379
     181     0.0167    -0.0312
     184    -0.0430    -0.0726
     187    -0.0365    -0.0381
     190    -0.0300    -0.0791
     193     0.0052    -0.0563
     196     0.0320    -0.0550
     199     0.0370    -0.1077
     202     0.0534    -0.0712
     205     0.1217    -0.0156
     208     0.1106    -0.0521
