;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
      58    -0.4292     1.8859
      61    -0.5139     1.0059
      64    -0.5173     0.3984
      67    -0.5620     0.0634
      70    -0.5678    -0.0010
      73    -0.5204    -0.0326
      76    -0.4729    -0.0537
      79    -0.4255    -0.0348
      82    -0.3780    -0.0383
      85    -0.3306    -0.0220
      88    -0.3426    -0.0427
      91    -0.2881    -0.0297
      94    -0.2427    -0.0166
      97    -0.2769    -0.0277
     100    -0.3111    -0.0387
     103    -0.3453    -0.0497
     106    -0.3194    -0.0360
     109    -0.2936    -0.0222
     112    -0.2475    -0.0176
     115    -0.3956    -0.0351
     118    -0.2740    -0.0701
     121    -0.1525    -0.0457
     124    -0.1759    -0.0825
     127    -0.1994    -0.0344
     130    -0.2228    -0.0719
     133    -0.2183    -0.0505
     136    -0.2362    -0.0241
     139    -0.2541    -0.0491
     142    -0.2265    -0.0534
     145    -0.1990    -0.0393
     148    -0.1369    -0.0566
     151    -0.1581    -0.0435
     154    -0.1553    -0.0530
     157    -0.2186    -0.0783
     160    -0.1157    -0.0802
     163    -0.2093    -0.0428
     166    -0.1906    -0.0586
     169    -0.1719    -0.0743
     172    -0.0378    -0.0349
     175    -0.3255    -0.0356
     178    -0.0476    -0.0336
     181     0.0180    -0.0270
     184    -0.0417    -0.0683
     187    -0.0350    -0.0337
     190    -0.0283    -0.0746
     193     0.0071    -0.0518
     196     0.0340    -0.0504
     199     0.0392    -0.1030
     202     0.0557    -0.0663
     205     0.1242    -0.0106
     208     0.1133    -0.0470
     211     0.1491    -0.0245
     214     0.1277    -0.0727
     217     0.1990    -0.0512
