 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1602.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9963812, 0.9977212 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Mar 14 2016
;Version: 6_005_1602
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.71285 1365.65491  -99.00000 1365.31482
19960129 1360.70884 1365.65088  -99.00000 1365.31116
19960130 1360.72076 1365.66284  -99.00000 1365.32349
19960131 1360.73134 1365.67346  -99.00000 1365.33411
19960201 1360.74691 1365.68909  -99.00000 1365.34998
19960202 1360.74217 1365.68433  -99.00000 1365.34521
19960203 1360.69887 1365.64087  -99.00000 1365.30200
19960204 1360.65508 1365.59692  -99.00000 1365.25818
19960205 1360.63550 1365.57727  -99.00000 1365.23865
19960206 1360.64511 1365.58691  -99.00000 1365.24866
19960207 1360.65800 1365.59985 1365.95032 1365.25623
19960208 1360.62783 1365.56958 1365.90845 1365.23157
19960209 1360.63635 1365.57813 1365.90515 1365.24817
19960210 1360.65909 1365.60095 1365.92761 1365.27002
19960211 1360.59913 1365.54077 1365.87830  -99.00000
19960212 1360.58976 1365.53137 1365.86890  -99.00000
19960213 1360.61774 1365.55945 1365.89685  -99.00000
19960214 1360.58308 1365.52466 1365.86194  -99.00000
19960215 1360.60047 1365.54211 1365.87878  -99.00000
19960216 1360.62333 1365.56506 1365.90100  -99.00000
19960217 1360.62771 1365.56946 1365.90479  -99.00000
19960218 1360.67211 1365.61401 1365.94897  -99.00000
19960219 1360.66797 1365.60986 1365.94458  -99.00000
19960220 1360.73171 1365.67383 1366.00830  -99.00000
19960221 1360.77768 1365.71997 1366.05432  -99.00000
19960222 1360.75968 1365.70190 1366.04944 1365.33435
19960223 1360.74508 1365.68726 1366.06030 1365.32483
19960224 1360.72769 1365.66980 1366.03015 1365.30139
19960225 1360.71784 1365.65991 1366.01721 1365.30896
19960226 1360.73183 1365.67395 1366.02930 1365.32324
19960227 1360.76625 1365.70850 1366.06433 1365.35852
19960228 1360.76868 1365.71094 1366.05505 1365.36719
19960229 1360.71589 1365.65796 1366.00745 1365.31226
19960301 1360.69546 1365.63745 1365.99146 1365.29382
19960302 1360.66907 1365.61096 1365.97583 1365.25403
19960303 1360.66578 1365.60767 1365.94763 1365.26624
19960304 1360.63343 1365.57520 1365.95837 1365.20471
19960305 1360.63246 1365.57422 1365.94678 1365.20239
19960306 1360.65630 1365.59814 1365.94812 1365.25195
19960307 1360.65897 1365.60083 1365.95386 1365.25391
19960308 1360.68086 1365.62280 1365.91089 1365.32190
19960309 1360.64681 1365.58862 1365.89929 1365.27222
19960310 1360.65228 1365.59412 1365.89685 1365.28235
19960311 1360.64024 1365.58203 1365.91724 1365.24817
19960312 1360.62115 1365.56287 1365.88293 1365.23828
19960313 1360.58381 1365.52539 1365.85425 1365.20068
19960314 1360.61531 1365.55701 1365.88330 1365.22742
19960315 1360.67454 1365.61646 1365.93091 1365.29675
19960316 1360.69728 1365.63928 1365.96130 1365.31262
19960317 1360.73779 1365.67993 1365.99060 1365.36499
19960318 1360.74034 1365.68250 1366.00989 1365.35217
19960319 1360.74314 1365.68530 1366.00659 1365.37036
19960320 1360.72538 1365.66748 1365.99121 1365.33997
19960321 1360.71188 1365.65393 1365.95801 1365.34045
19960322 1360.58259 1365.52417 1365.85986 1365.18823
19960323 1360.57383 1365.51538 1365.85144 1365.18237
19960324 1360.59463 1365.53625 1365.86609 1365.20447
19960325 1360.65155 1365.59338 1365.91113 1365.26355
19960326 1360.65934 1365.60120 1365.89832 1365.31812
19960327 1360.69716 1365.63916 1365.97473  -99.00000
19960328 1360.73049 1365.67261 1366.00745  -99.00000
19960329 1360.73681 1365.67896 1365.98962 1365.36560
19960330 1360.68682 1365.62878 1365.94299 1365.30945
19960331 1360.70945 1365.65149 1365.95996 1365.33655
19960401 1360.70106 1365.64307 1365.97375 1365.31177
19960402 1360.71991 1365.66199 1365.98645 1365.33984
19960403 1360.73304 1365.67517 1366.00500 1365.35547
19960404 1360.74180 1365.68396 1366.02087  -99.00000
19960405 1360.74144 1365.68359 1366.00842 1365.36133
19960406 1360.69230 1365.63428 1365.99731 1365.27551
19960407 1360.69254 1365.63452 1366.03345 1365.25378
19960408 1360.68974 1365.63171 1366.02112 1365.24622
19960409 1360.70178 1365.64380 1366.01001 1365.28760
19960410 1360.69960 1365.64160 1366.00269 1365.27490
19960411 1360.76272 1365.70496 1366.04773 1365.36609
19960412 1360.74569 1365.68787 1366.04639 1365.34167
19960413 1360.78984 1365.73218 1366.05554 1365.40808
19960414 1360.77671 1365.71899 1366.04431 1365.39099
19960415 1360.72441 1365.66650 1365.98376  -99.00000
19960416 1360.83789 1365.78040 1365.99402 1365.57251
19960417 1360.62771 1365.56946 1365.95776 1365.19690
19960418 1360.63975 1365.58154 1365.94763 1365.23181
19960419 1360.65094 1365.59277 1365.98267 1365.21863
19960420 1360.63720 1365.57898 1365.97510 1365.18811
19960421 1360.62029 1365.56201 1365.95203 1365.18738
19960422 1360.58733 1365.52893 1365.91382 1365.16052
19960423 1360.69339 1365.63538 1365.89636 1365.37952
19960424 1360.57176 1365.51331 1365.89307 1365.15637
19960425 1360.60473 1365.54639 1365.91064 1365.19092
19960426 1360.60691 1365.54858 1365.91113 1365.20081
19960427 1360.60764 1365.54932 1365.87341 1365.22461
19960428 1360.60837 1365.55005 1365.87451 1365.22339
19960429 1360.64401 1365.58582 1365.90088 1365.27966
19960430 1360.61956 1365.56128 1365.86609 1365.25562
19960501 1360.67077 1365.61267 1365.88794 1365.32983
19960502 1360.66420 1365.60608 1365.92126 1365.31433
19960503 1360.63331 1365.57507 1365.90576 1365.24329
19960504 1360.65180 1365.59363 1365.91382 1365.27917
19960505 1360.71237 1365.65442 1365.95740 1365.34595
19960506 1360.78522 1365.72754 1366.01147 1365.45325
19960507 1360.85650 1365.79907 1366.04590 1365.53528
19960508 1360.86939 1365.81201 1366.11609 1365.50012
19960509 1360.88654 1365.82922 1366.09949 1365.54675
19960510 1360.79228 1365.73462 1366.01550 1365.45691
19960511 1360.75311 1365.69531 1365.95886 1365.41858
19960512 1360.74837 1365.69055 1365.96497 1365.40430
