 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1605.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962805, 0.9975214 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Jun 07 2016
;Version: 6_005_1605
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.54291 1365.62231  -99.00000 1365.24573
19960129 1360.53683 1365.61621  -99.00000 1365.24011
19960130 1360.54936 1365.62878  -99.00000 1365.25293
19960131 1360.55799 1365.63745  -99.00000 1365.26184
19960201 1360.57453 1365.65405  -99.00000 1365.27856
19960202 1360.57125 1365.65076  -99.00000 1365.27551
19960203 1360.52954 1365.60889  -99.00000 1365.23376
19960204 1360.48563 1365.56482  -99.00000 1365.18982
19960205 1360.46265 1365.54175  -99.00000 1365.16699
19960206 1360.47226 1365.55139  -99.00000 1365.17700
19960207 1360.48369 1365.56287 1365.94800 1365.18298
19960208 1360.45632 1365.53540 1365.91174 1365.15979
19960209 1360.46082 1365.53992 1365.90442 1365.17554
19960210 1360.48588 1365.56506 1365.92908 1365.19922
19960211 1360.42896 1365.50793 1365.88147  -99.00000
19960212 1360.41315 1365.49207 1365.86536  -99.00000
19960213 1360.44538 1365.52441 1365.89758  -99.00000
19960214 1360.41096 1365.48987 1365.86279  -99.00000
19960215 1360.42872 1365.50769 1365.88013  -99.00000
19960216 1360.44635 1365.52539 1365.89697  -99.00000
19960217 1360.45340 1365.53247 1365.90332  -99.00000
19960218 1360.49706 1365.57629 1365.94678  -99.00000
19960219 1360.49366 1365.57288 1365.94312  -99.00000
19960220 1360.55872 1365.63818 1366.00806  -99.00000
19960221 1360.60360 1365.68323 1366.05286  -99.00000
19960222 1360.59071 1365.67029 1366.04980 1365.26660
19960223 1360.57453 1365.65405 1366.05823 1365.24951
19960224 1360.56152 1365.64099 1366.03320 1365.23425
19960225 1360.54498 1365.62439 1366.01575 1365.23279
19960226 1360.56006 1365.63953 1366.02795 1365.24915
19960227 1360.59521 1365.67480 1366.06311 1365.28613
19960228 1360.59691 1365.67651 1366.05579 1365.29468
19960229 1360.54717 1365.62659 1366.01025 1365.24280
19960301 1360.52431 1365.60364 1365.99084 1365.22388
19960302 1360.50023 1365.57947 1365.97595 1365.18237
19960303 1360.49342 1365.57263 1365.94763 1365.19421
19960304 1360.46861 1365.54773 1365.95923 1365.13538
19960305 1360.46240 1365.54150 1365.94470 1365.12781
19960306 1360.48673 1365.56592 1365.94971 1365.18176
19960307 1360.49013 1365.56934 1365.95117 1365.18872
19960308 1360.50327 1365.58252 1365.91443 1365.25159
19960309 1360.46727 1365.54639 1365.89758 1365.19617
19960310 1360.47797 1365.55713 1365.89832 1365.21655
19960311 1360.46471 1365.54382 1365.91223 1365.17627
19960312 1360.45134 1365.53040 1365.88721 1365.17383
19960313 1360.41047 1365.48938 1365.85376 1365.12891
19960314 1360.44003 1365.51904 1365.88196 1365.15637
19960315 1360.49767 1365.57690 1365.92725 1365.22791
19960316 1360.51993 1365.59924 1365.95789 1365.24097
19960317 1360.56322 1365.64270 1365.99121 1365.29810
19960318 1360.56748 1365.64697 1366.00952 1365.28455
19960319 1360.57247 1365.65198 1366.00696 1365.30896
19960320 1360.55143 1365.63086 1365.99158 1365.27051
19960321 1360.53914 1365.61853 1365.95923 1365.27710
19960322 1360.41728 1365.49622 1365.86438 1365.12817
19960323 1360.40074 1365.47961 1365.84924 1365.11462
19960324 1360.42093 1365.49988 1365.86304 1365.13696
19960325 1360.47858 1365.55774 1365.90918 1365.19666
19960326 1360.48648 1365.56567 1365.90088 1365.25513
19960327 1360.52723 1365.60657 1365.97473  -99.00000
19960328 1360.55799 1365.63745 1366.00500  -99.00000
19960329 1360.56322 1365.64270 1365.98926 1365.30298
19960330 1360.51652 1365.59583 1365.94458 1365.24768
19960331 1360.53817 1365.61755 1365.95898 1365.27686
19960401 1360.53221 1365.61157 1365.97327 1365.25000
19960402 1360.54802 1365.62744 1365.98450 1365.27649
19960403 1360.56298 1365.64246 1366.00293 1365.29468
19960404 1360.57685 1365.65637 1366.02429  -99.00000
19960405 1360.57222 1365.65173 1366.00696 1365.30505
19960406 1360.52747 1365.60681 1365.99341 1365.21509
19960407 1360.53525 1365.61462 1366.03259 1365.19446
19960408 1360.53185 1365.61121 1366.02161 1365.18726
19960409 1360.53805 1365.61743 1366.00879 1365.22485
19960410 1360.53914 1365.61853 1366.00488 1365.21875
19960411 1360.59667 1365.67627 1366.04602 1365.30627
19960412 1360.57757 1365.65710 1366.04138 1365.27722
19960413 1360.62196 1365.70166 1366.05652 1365.34692
19960414 1360.61479 1365.69446 1366.04688 1365.36255
19960415 1360.55033 1365.62976 1365.98328  -99.00000
19960416 1360.65261 1365.73242 1365.99414 1365.50488
19960417 1360.47274 1365.55188 1365.95642 1365.14539
19960418 1360.47651 1365.55566 1365.94836 1365.16992
19960419 1360.49038 1365.56958 1365.98169 1365.15503
19960420 1360.47955 1365.55872 1365.97522 1365.12842
