 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1611.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962805, 0.9975214 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Dec 12 2016
;Version: 6_005_1611
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.54255 1365.62195  -99.00000 1365.24561
19960129 1360.53647 1365.61584  -99.00000 1365.23999
19960130 1360.54899 1365.62842  -99.00000 1365.25281
19960131 1360.55763 1365.63708  -99.00000 1365.26160
19960201 1360.57429 1365.65381  -99.00000 1365.27844
19960202 1360.57101 1365.65051  -99.00000 1365.27527
19960203 1360.52917 1365.60852  -99.00000 1365.23352
19960204 1360.48527 1365.56445  -99.00000 1365.18970
19960205 1360.46228 1365.54138  -99.00000 1365.16687
19960206 1360.47189 1365.55103  -99.00000 1365.17676
19960207 1360.48332 1365.56250 1365.94763 1365.18274
19960208 1360.45596 1365.53503 1365.91138 1365.15955
19960209 1360.46058 1365.53967 1365.90405 1365.17529
19960210 1360.48551 1365.56470 1365.92859 1365.19897
19960211 1360.42872 1365.50769 1365.88098  -99.00000
19960212 1360.41291 1365.49182 1365.86487  -99.00000
19960213 1360.44501 1365.52405 1365.89709  -99.00000
19960214 1360.41060 1365.48950 1365.86230  -99.00000
19960215 1360.42835 1365.50732 1365.87952  -99.00000
19960216 1360.44599 1365.52502 1365.89648  -99.00000
19960217 1360.45304 1365.53210 1365.90283  -99.00000
19960218 1360.49658 1365.57581 1365.94617  -99.00000
19960219 1360.49329 1365.57251 1365.94250  -99.00000
19960220 1360.55836 1365.63782 1366.00745  -99.00000
19960221 1360.60311 1365.68274 1366.05225  -99.00000
19960222 1360.59022 1365.66980 1366.04919 1365.26624
19960223 1360.57405 1365.65356 1366.05762 1365.24915
19960224 1360.56103 1365.64050 1366.03259 1365.23389
19960225 1360.54450 1365.62390 1366.01501 1365.23230
19960226 1360.55945 1365.63892 1366.02722 1365.24878
19960227 1360.59460 1365.67419 1366.06238 1365.28577
19960228 1360.59630 1365.67590 1366.05505 1365.29419
19960229 1360.54656 1365.62598 1366.00940 1365.24231
19960301 1360.52370 1365.60303 1365.99011 1365.22339
19960302 1360.49950 1365.57874 1365.97510 1365.18188
19960303 1360.49281 1365.57202 1365.94678 1365.19373
19960304 1360.46788 1365.54700 1365.95837 1365.13489
19960305 1360.46167 1365.54077 1365.94385 1365.12732
19960306 1360.48600 1365.56519 1365.94885 1365.18127
19960307 1360.48940 1365.56860 1365.95032 1365.18811
19960308 1360.50254 1365.58179 1365.91345 1365.25098
19960309 1360.46654 1365.54565 1365.89673 1365.19568
19960310 1360.47724 1365.55640 1365.89746 1365.21606
19960311 1360.46399 1365.54309 1365.91125 1365.17566
19960312 1360.45049 1365.52954 1365.88623 1365.17322
19960313 1360.40962 1365.48853 1365.85278 1365.12830
19960314 1360.43918 1365.51819 1365.88086 1365.15576
19960315 1360.49682 1365.57605 1365.92615 1365.22729
19960316 1360.51908 1365.59839 1365.95679 1365.24023
19960317 1360.56237 1365.64185 1365.99023 1365.29749
19960318 1360.56651 1365.64600 1366.00854 1365.28381
19960319 1360.57149 1365.65100 1366.00586 1365.30823
19960320 1360.55058 1365.63000 1365.99048 1365.26978
19960321 1360.53817 1365.61755 1365.95813 1365.27637
19960322 1360.41643 1365.49536 1365.86316 1365.12744
19960323 1360.39977 1365.47864 1365.84814 1365.11389
19960324 1360.41996 1365.49890 1365.86182 1365.13623
19960325 1360.47761 1365.55676 1365.90808 1365.19580
19960326 1360.48551 1365.56470 1365.89978 1365.25439
19960327 1360.52613 1365.60547 1365.97351  -99.00000
19960328 1360.55702 1365.63647 1366.00378  -99.00000
19960329 1360.56213 1365.64160 1365.98804 1365.30212
19960330 1360.51543 1365.59473 1365.94324 1365.24683
19960331 1360.53708 1365.61646 1365.95776 1365.27600
19960401 1360.53112 1365.61047 1365.97192 1365.24915
19960402 1360.54681 1365.62622 1365.98315 1365.27551
19960403 1360.56189 1365.64136 1366.00159 1365.29382
19960404 1360.57563 1365.65515 1366.02295  -99.00000
19960405 1360.57113 1365.65063 1366.00549 1365.30408
19960406 1360.52625 1365.60559 1365.99207 1365.21399
19960407 1360.53404 1365.61340 1366.03113 1365.19348
19960408 1360.53051 1365.60986 1366.02014 1365.18628
19960409 1360.53683 1365.61621 1366.00732 1365.22375
19960410 1360.53793 1365.61731 1366.00354 1365.21753
19960411 1360.59545 1365.67505 1366.04456 1365.30505
19960412 1360.57624 1365.65576 1366.03992 1365.27600
19960413 1360.62063 1365.70032 1366.05505 1365.34570
19960414 1360.61345 1365.69312 1366.04541 1365.36133
19960415 1360.54899 1365.62842 1365.98181  -99.00000
19960416 1360.65127 1365.73108 1365.99268 1365.50366
19960417 1360.47140 1365.55054 1365.95483 1365.14404
19960418 1360.47505 1365.55420 1365.94678 1365.16858
19960419 1360.48892 1365.56812 1365.98010 1365.15369
19960420 1360.47809 1365.55725 1365.97363 1365.12695
19960421 1360.45754 1365.53662 1365.95166 1365.11902
19960422 1360.42057 1365.49951 1365.91040 1365.08972
19960423 1360.50910 1365.58838 1365.89709 1365.30029
19960424 1360.40646 1365.48535 1365.88696 1365.09595
19960425 1360.43723 1365.51624 1365.91052 1365.12036
19960426 1360.43297 1365.51196 1365.90698 1365.12427
19960427 1360.43297 1365.51196 1365.87244 1365.15149
19960428 1360.43516 1365.51416 1365.87329 1365.15161
19960429 1360.46617 1365.54529 1365.89758 1365.20605
19960430 1360.44136 1365.52039 1365.86597 1365.18152
19960501 1360.48612 1365.56531 1365.88318 1365.24939
19960502 1360.48502 1365.56421 1365.91626 1365.23718
19960503 1360.45778 1365.53687 1365.90454 1365.16370
19960504 1360.47262 1365.55176 1365.91052 1365.19861
19960505 1360.53014 1365.60950 1365.95374 1365.26624
19960506 1360.59570 1365.67529 1366.00415 1365.36340
19960507 1360.66867 1365.74854 1366.04297 1365.45728
19960508 1360.68496 1365.76489 1366.11255 1365.41553
19960509 1360.70187 1365.78186 1366.09802 1365.46802
19960510 1360.61187 1365.69153 1366.01709 1365.37976
19960511 1360.56553 1365.64502 1365.95630 1365.33618
19960512 1360.56018 1365.63965 1365.96118 1365.31970
19960513 1360.56882 1365.64832 1365.97571 1365.32251
19960514 1360.63145 1365.71118 1366.01624 1365.40039
19960515 1360.63230 1365.71204 1366.05811 1365.36694
19960516 1360.71135 1365.79138 1366.09460 1365.50415
19960517 1360.71026 1365.79028 1366.11096 1365.47192
19960518 1360.66514 1365.74500 1366.07800 1365.42932
19960519 1360.56626 1365.64575 1366.01270 1365.27893
19960520 1360.48527 1365.56445 1365.93494 1365.19373
19960521 1360.46082 1365.53992 1365.91040 1365.16919
19960522 1360.46411 1365.54321 1365.91174 1365.17188
19960523 1360.45973 1365.53882 1365.90637 1365.17114
19960524 1360.45608 1365.53516 1365.87341 1365.20496
19960525 1360.46058 1365.53967 1365.88831 1365.19189
19960526 1360.46958 1365.54871 1365.90271 1365.19421
19960527 1360.43382 1365.51282 1365.89563 1365.12939
19960528 1360.47566 1365.55481 1365.90735 1365.20361
19960529 1360.41583 1365.49475 1365.88135 1365.10754
19960530 1360.41400 1365.49292 1365.86768 1365.11792
19960531 1360.43419 1365.51318 1365.88928 1365.13403
19960601 1360.45486 1365.53394 1365.91260 1365.15552
19960602 1360.51032 1365.58960 1365.96899 1365.20972
19960603 1360.53051 1365.60986 1365.99731 1365.21558
19960604 1360.62014 1365.69983 1366.05310 1365.36108
19960605 1360.59205 1365.67163 1366.05676 1365.28564
19960606 1360.54474 1365.62415 1366.03589 1365.21057
19960607 1360.51385 1365.59314 1365.97144 1365.21057
19960608 1360.47554 1365.55469 1365.95313 1365.15503
19960609 1360.50132 1365.58057 1365.97815 1365.18188
19960610 1360.56310 1365.64258 1366.02393 1365.25793
19960611 1360.56176 1365.64124 1366.03577 1365.24573
19960612 1360.58001 1365.65955 1366.04443 1365.27417
19960613 1360.56456 1365.64404 1366.02527 1365.25439
19960614 1360.54194 1365.62134 1365.99109 1365.25159
19960615 1360.47092 1365.55005 1365.93335 1365.16638
19960616 1360.45061 1365.52966 1365.90942 1365.15186
19960617 1360.45705 1365.53613 1365.91125 1365.16101
19960618 1360.41108 1365.48999 1365.87024 1365.10962
19960619 1360.45049 1365.52954 1365.90442 1365.15479
19960620 1360.46107 1365.54016 1365.90991 1365.17078
19960621 1360.44586 1365.52490 1365.90259 1365.14734
19960622 1360.42446 1365.50342 1365.89087 1365.11670
19960623 1360.43918 1365.51819 1365.90015 1365.13623
19960624 1360.48016 1365.55933 1365.94983 1365.16833
19960625 1360.49074 1365.56995 1365.94995 1365.19055
19960626 1360.46034 1365.53943 1365.93420 1365.14404
19960627 1360.47980 1365.55896 1365.93494 1365.19031
19960628 1360.51920 1365.59851 1365.99353 1365.20667
19960629 1360.61114 1365.69080 1366.07300 1365.30859
19960630 1360.66307 1365.74292 1366.12573 1365.35657
19960701 1360.69335 1365.77332 1366.15259 1365.40076
19960702 1360.70819 1365.78821 1366.17981 1365.39636
19960703 1360.67766 1365.75757 1366.16248 1365.35168
19960704 1360.66587 1365.74573 1366.14441 1365.34888
19960705 1360.64750 1365.72729 1366.12952 1365.32434
19960706 1360.60348 1365.68311 1366.08240 1365.28320
19960707 1360.58439 1365.66394 1366.04846 1365.27771
19960708 1360.36742 1365.44617 1365.82947 1365.06274
19960709 1360.19278 1365.27087 1365.66565 1364.87573
19960710 1360.30759 1365.38611 1365.77258 1364.99951
19960711 1360.44063 1365.51965 1365.91406 1365.10522
19960712 1360.52674 1365.60608 1365.99719 1365.21484
19960713 1360.48551 1365.56470 1365.96875 1365.15198
19960714 1360.41424 1365.49316 1365.89136 1365.09448
19960715 1360.42762 1365.50659 1365.90698 1365.10547
19960716 1360.44416 1365.52319 1365.90796 1365.13892
19960717 1360.44903 1365.52808 1365.91553 1365.14050
19960718 1360.41181 1365.49072 1365.88501 1365.09583
19960719 1360.43285 1365.51184 1365.90540 1365.12036
19960720 1360.43078 1365.50977 1365.89807 1365.12134
19960721 1360.41181 1365.49072 1365.88208 1365.09900
19960722 1360.41035 1365.48926 1365.88123 1365.09338
19960723 1360.43407 1365.51306 1365.89087 1365.13525
19960724 1360.40391 1365.48279 1365.88770 1365.07727
19960725 1360.45231 1365.53137 1365.92383 1365.12952
19960726 1360.50047 1365.57971 1365.95947 1365.19995
19960727 1360.49111 1365.57031 1365.97900 1365.16077
19960728 1360.54875 1365.62817 1366.02747 1365.22839
19960729 1360.51871 1365.59802 1366.00342 1365.19067
19960730 1360.44440 1365.52344 1365.90417 1365.14258
19960731 1360.34225 1365.42090 1365.82031 1365.02087
19960801 1360.30041 1365.37891 1365.76538 1364.99219
19960802 1360.28387 1365.36230 1365.71851 1365.00659
19960803 1360.32023 1365.39880 1365.75085 1365.04993
19960804 1360.41838 1365.49731 1365.84180 1365.15369
19960805 1360.53866 1365.61804 1365.94922 1365.28809
19960806 1360.57940 1365.65894 1366.01538 1365.31738
19960807 1360.60932 1365.68896 1366.03357 1365.34521
19960808 1360.53197 1365.61133 1365.96655 1365.25366
19960809 1360.45754 1365.53662 1365.90918 1365.16418
19960810 1360.41984 1365.49878 1365.87378 1365.12000
19960811 1360.35757 1365.43628 1365.81799 1365.05444
19960812 1360.41546 1365.49438 1365.86780 1365.12109
19960813 1360.50789 1365.58716 1365.93738 1365.23657
19960814 1360.47201 1365.55115 1365.93250 1365.16968
19960815 1360.41169 1365.49060 1365.87219 1365.10889
19960816 1360.40828 1365.48718 1365.85291 1365.12146
19960817 1360.43772 1365.51672 1365.89502 1365.13831
19960818 1360.44222 1365.52124 1365.89612 1365.14209
19960819 1360.43091 1365.50989 1365.87781 1365.14197
19960820 1360.43881 1365.51782 1365.88440 1365.15137
19960821 1360.43103 1365.51001 1365.87439 1365.14563
19960822 1360.45474 1365.53381 1365.89270 1365.17493
19960823 1360.52175 1365.60107 1365.94580 1365.25293
19960824 1360.61455 1365.69421 1366.06384 1365.32458
19960825 1360.72303 1365.80310 1366.17859 1365.42761
19960826 1360.75112 1365.83130 1366.20264 1365.45996
19960827 1360.70904 1365.78906 1366.16516 1365.41296
19960828 1360.68362 1365.76355 1366.11658 1365.41028
19960829 1360.63571 1365.71545 1366.09387 1365.33704
19960830 1360.66246 1365.74231 1366.12524 1365.35950
19960831 1360.70685 1365.78687 1366.15112 1365.42261
19960901 1360.73580 1365.81592 1366.19177 1365.44031
19960902 1360.76353 1365.84375 1366.19250 1365.49170
19960903 1360.72388 1365.80396 1366.15417 1365.45349
19960904 1360.62646 1365.70618 1366.05505 1365.35718
19960905 1360.54535 1365.62476 1365.98352 1365.26599
19960906 1360.48016 1365.55933 1365.93811 1365.18091
19960907 1360.50217 1365.58142 1365.95422 1365.20496
19960908 1360.51750 1365.59680 1365.95239 1365.24121
19960909 1360.52431 1365.60364 1365.97388 1365.23352
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.48259 1365.56177  -99.00000 1365.20569
19960915 1360.46569 1365.54480  -99.00000 1365.18811
19960916 1360.41108 1365.48999  -99.00000 1365.13330
19960917 1360.52747 1365.60681 1365.96765 1365.26819
19960918 1360.55045 1365.62988 1365.98279 1365.27686
19960919 1360.55337 1365.63281 1366.00330 1365.26245
19960920 1360.59424 1365.67383 1366.04846 1365.29956
19960921 1360.68472 1365.76465 1366.11560 1365.41370
19960922 1360.70320 1365.78320 1366.14429 1365.41919
19960923 1360.73543 1365.81555 1366.17700 1365.45422
19960924 1360.69603 1365.77600 1366.13196 1365.42004
19960925 1360.71111 1365.79114 1366.12622 1365.45581
19960926 1360.70004 1365.78003 1366.10547 1365.45410
19960927 1360.66538 1365.74524 1366.10413 1365.39001
19960928 1360.68837 1365.76831 1366.11584 1365.42041
19960929 1360.67694 1365.75684 1366.09338 1365.42200
19960930 1360.65517 1365.73499 1366.07141 1365.40894
19961001 1360.58889 1365.66846 1365.99951 1365.33691
19961002 1360.49074 1365.56995 1365.92139 1365.21313
19961003 1360.48077 1365.55994 1365.89673 1365.22266
19961004 1360.52552 1365.60486 1365.90161 1365.30676
19961005 1360.47834 1365.55750 1365.86975 1365.24438
19961006 1360.43674 1365.51575 1365.86621 1365.16528
19961007 1360.43091 1365.50989 1365.85046 1365.16382
19961008 1360.44501 1365.52405 1365.85315 1365.19446
19961009 1360.46654 1365.54565 1365.85876 1365.23157
19961010 1360.46520 1365.54431 1365.86804 1365.21985
19961011 1360.43601 1365.51501 1365.85339 1365.17615
19961012 1360.44136 1365.52039 1365.86670 1365.17017
19961013 1360.43078 1365.50977 1365.84412 1365.17468
19961014 1360.46921 1365.54834 1365.88477 1365.21130
19961015 1360.48916 1365.56836 1365.89075 1365.24463
19961016 1360.49196 1365.57117 1365.89539 1365.24573
19961017 1360.57368 1365.65320 1365.95447 1365.34692
19961018 1360.63437 1365.71411 1366.03516 1365.40527
