 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1709.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962805, 0.9975214 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Sep 30 2017
;Version: 6_005_1709
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.54401 1365.62341  -99.00000 1365.24548
19960129 1360.53793 1365.61731  -99.00000 1365.23987
19960130 1360.55045 1365.62988  -99.00000 1365.25269
19960131 1360.55921 1365.63867  -99.00000 1365.26147
19960201 1360.57575 1365.65527  -99.00000 1365.27832
19960202 1360.57247 1365.65198  -99.00000 1365.27515
19960203 1360.53075 1365.61011  -99.00000 1365.23340
19960204 1360.48673 1365.56592  -99.00000 1365.18945
19960205 1360.46386 1365.54297  -99.00000 1365.16663
19960206 1360.47347 1365.55261  -99.00000 1365.17664
19960207 1360.48430 1365.56348 1365.94946 1365.18262
19960208 1360.45693 1365.53601 1365.91333 1365.15942
19960209 1360.46143 1365.54053 1365.90601 1365.17517
19960210 1360.48648 1365.56567 1365.93079 1365.19873
19960211 1360.42920 1365.50818 1365.88318  -99.00000
19960212 1360.41327 1365.49219 1365.86719  -99.00000
19960213 1360.44562 1365.52466 1365.89954  -99.00000
19960214 1360.41120 1365.49011 1365.86475  -99.00000
19960215 1360.42908 1365.50806 1365.88220  -99.00000
19960216 1360.44672 1365.52576 1365.89917  -99.00000
19960217 1360.45377 1365.53284 1365.90552  -99.00000
19960218 1360.49743 1365.57666 1365.94897  -99.00000
19960219 1360.49415 1365.57336 1365.94543  -99.00000
19960220 1360.55933 1365.63879 1366.01050  -99.00000
19960221 1360.60421 1365.68384 1366.05542  -99.00000
19960222 1360.59144 1365.67102 1366.05237 1365.26587
19960223 1360.57551 1365.65503 1366.06091 1365.24878
19960224 1360.56249 1365.64197 1366.03601 1365.23352
19960225 1360.54595 1365.62537 1366.01855 1365.23193
19960226 1360.56103 1365.64050 1366.03076 1365.24841
19960227 1360.59630 1365.67590 1366.06604 1365.28528
19960228 1360.59801 1365.67761 1366.05884 1365.29382
19960229 1360.54827 1365.62769 1366.01331 1365.24194
19960301 1360.52540 1365.60474 1365.99402 1365.22290
19960302 1360.50132 1365.58057 1365.97913 1365.18152
19960303 1360.49463 1365.57385 1365.95093 1365.19324
19960304 1360.46982 1365.54895 1365.96265 1365.13440
19960305 1360.46362 1365.54272 1365.94812 1365.12683
19960306 1360.48794 1365.56714 1365.95325 1365.18079
19960307 1360.49135 1365.57056 1365.95471 1365.18762
19960308 1360.50460 1365.58386 1365.91809 1365.25049
19960309 1360.46861 1365.54773 1365.90137 1365.19507
19960310 1360.47931 1365.55847 1365.90210 1365.21545
19960311 1360.46605 1365.54517 1365.91602 1365.17505
19960312 1360.45267 1365.53174 1365.89111 1365.17273
19960313 1360.41181 1365.49072 1365.85779 1365.12781
19960314 1360.44149 1365.52051 1365.88599 1365.15515
19960315 1360.49913 1365.57837 1365.93140 1365.22668
19960316 1360.52139 1365.60071 1365.96204 1365.23975
19960317 1360.56481 1365.64429 1365.99548 1365.29688
19960318 1360.56894 1365.64844 1366.01392 1365.28333
19960319 1360.57405 1365.65356 1366.01135 1365.30774
19960320 1360.55313 1365.63257 1365.99609 1365.26929
19960321 1360.54072 1365.62012 1365.96387 1365.27588
19960322 1360.41899 1365.49792 1365.86902 1365.12695
19960323 1360.40245 1365.48132 1365.85388 1365.11340
19960324 1360.42276 1365.50171 1365.86780 1365.13574
19960325 1360.48028 1365.55945 1365.91406 1365.19543
19960326 1360.48843 1365.56763 1365.90588 1365.25391
19960327 1360.52929 1365.60864 1365.97961  -99.00000
19960328 1360.56018 1365.63965 1366.01013  -99.00000
19960329 1360.56517 1365.64465 1365.99438 1365.30176
19960330 1360.51847 1365.59778 1365.94971 1365.24646
