 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1805.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962133, 0.9994067 and0.9930198, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created May 18 2018
;Version: 6_005_1805
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.45127 1365.62253  -99.00000 1365.24463
19960129 1360.44682 1365.61806  -99.00000 1365.24055
19960130 1360.45845 1365.62974  -99.00000 1365.25255
19960131 1360.46891 1365.64024  -99.00000 1365.26315
19960201 1360.48444 1365.65582  -99.00000 1365.27888
19960202 1360.47972 1365.65109  -99.00000 1365.27427
19960203 1360.43642 1365.60763  -99.00000 1365.23093
19960204 1360.39233 1365.56337  -99.00000 1365.18692
19960205 1360.37236 1365.54332  -99.00000 1365.16706
19960206 1360.38160 1365.55260  -99.00000 1365.17661
19960207 1360.39447 1365.56552 1365.95171 1365.18378
19960208 1360.36310 1365.53402 1365.90992 1365.15883
19960209 1360.36994 1365.54089 1365.90664 1365.17519
19960210 1360.39287 1365.56391 1365.92922 1365.19680
19960211 1360.33401 1365.50483 1365.87986  -99.00000
19960212 1360.32481 1365.49559 1365.87057  -99.00000
19960213 1360.35285 1365.52374 1365.89861  -99.00000
19960214 1360.31831 1365.48907 1365.86372  -99.00000
19960215 1360.33576 1365.50658 1365.88066  -99.00000
19960216 1360.35874 1365.52965 1365.90297  -99.00000
19960217 1360.36319 1365.53411 1365.90678  -99.00000
19960218 1360.40763 1365.57872 1365.95102  -99.00000
19960219 1360.40360 1365.57468 1365.94669  -99.00000
19960220 1360.46751 1365.63883 1366.01050  -99.00000
19960221 1360.51361 1365.68511 1366.05662  -99.00000
19960222 1360.49721 1365.66865 1366.05180 1365.26148
19960223 1360.48598 1365.65738 1366.06276 1365.25151
19960224 1360.46699 1365.63831 1366.03262 1365.22786
19960225 1360.45650 1365.62778 1366.01979 1365.23544
19960226 1360.47033 1365.64166 1366.03189 1365.24967
19960227 1360.50471 1365.67617 1366.06696 1365.28507
19960228 1360.50565 1365.67712 1366.05776 1365.29389
19960229 1360.45356 1365.62483 1366.01019 1365.23925
19960301 1360.43275 1365.60395 1365.99428 1365.22104
19960302 1360.40920 1365.58030 1365.97877 1365.18134
19960303 1360.40283 1365.57391 1365.95061 1365.19384
19960304 1360.37647 1365.54744 1365.96140 1365.13265
19960305 1360.37434 1365.54530 1365.94991 1365.13064
19960306 1360.39499 1365.56604 1365.95126 1365.18053
19960307 1360.39853 1365.56959 1365.95713 1365.18274
19960308 1360.41103 1365.58213 1365.91417 1365.25096
19960309 1360.38041 1365.55141 1365.90263 1365.20161
19960310 1360.38482 1365.55583 1365.90026 1365.21203
19960311 1360.37772 1365.54870 1365.92071 1365.17795
19960312 1360.35628 1365.52718 1365.88654 1365.16814
19960313 1360.32092 1365.49169 1365.85789 1365.13077
19960314 1360.35136 1365.52224 1365.88700 1365.15768
19960315 1360.40909 1365.58019 1365.93464 1365.22717
19960316 1360.43295 1365.60414 1365.96517 1365.24343
19960317 1360.47207 1365.64341 1365.99452 1365.29612
19960318 1360.47727 1365.64863 1366.01382 1365.28367
19960319 1360.47959 1365.65096 1366.01062 1365.30226
19960320 1360.46226 1365.63356 1365.99521 1365.27224
19960321 1360.44683 1365.61807 1365.96219 1365.27315
19960322 1360.32188 1365.49265 1365.86403 1365.12130
19960323 1360.31276 1365.48349 1365.85571 1365.11593
19960324 1360.33352 1365.50434 1365.87044 1365.13841
19960325 1360.39037 1365.56139 1365.91551 1365.19792
19960326 1360.39385 1365.56489 1365.90279 1365.25278
19960327 1360.43699 1365.60820 1365.97922  -99.00000
19960328 1360.47027 1365.64160 1366.01204  -99.00000
19960329 1360.47378 1365.64513 1365.99427 1365.30182
19960330 1360.42538 1365.59655 1365.94767 1365.24605
19960331 1360.44749 1365.61874 1365.96472 1365.27353
19960401 1360.44256 1365.61379 1365.97860 1365.24908
19960402 1360.45998 1365.63127 1365.99132 1365.27745
19960403 1360.47446 1365.64581 1366.00989 1365.29326
19960404 1360.48352 1365.65491 1366.02589  -99.00000
19960405 1360.48304 1365.65442 1366.01351 1365.29975
19960406 1360.43973 1365.61095 1366.00243 1365.21433
19960407 1360.44564 1365.61688 1366.03868 1365.19280
19960408 1360.44153 1365.61275 1366.02641 1365.18548
19960409 1360.45055 1365.62181 1366.01528 1365.22710
19960410 1360.44723 1365.61847 1366.00812 1365.21452
19960411 1360.50825 1365.67972 1366.05316 1365.30582
19960412 1360.49282 1365.66423 1366.05186 1365.28125
19960413 1360.53261 1365.70418 1366.06108 1365.34748
19960414 1360.51860 1365.69012 1366.04997 1365.33022
19960415 1360.46490 1365.63622 1365.98950  -99.00000
19960416 1360.56577 1365.73746 1365.99975 1365.51062
19960417 1360.37906 1365.55004 1365.96353 1365.13420
19960418 1360.38640 1365.55741 1365.95347 1365.16829
19960419 1360.40154 1365.57261 1365.98854 1365.15421
19960420 1360.38819 1365.55921 1365.98111 1365.12281
19960421 1360.36992 1365.54087 1365.95808 1365.12114
19960422 1360.33532 1365.50614 1365.91991 1365.09340
19960423 1360.42468 1365.59584 1365.90259 1365.31153
19960424 1360.31657 1365.48732 1365.89937 1365.08746
19960425 1360.34898 1365.51985 1365.91691 1365.12119
19960426 1360.34917 1365.52005 1365.91744 1365.13016
19960427 1360.34561 1365.51647 1365.87983 1365.15310
19960428 1360.34715 1365.51802 1365.88096 1365.15122
19960429 1360.38089 1365.55188 1365.90746 1365.20653
19960430 1360.35303 1365.52391 1365.87269 1365.18189
19960501 1360.40109 1365.57216 1365.89464 1365.25546
19960502 1360.40117 1365.57224 1365.92797 1365.23918
19960503 1360.37061 1365.54157 1365.91261 1365.16753
19960504 1360.38776 1365.55878 1365.92064 1365.20281
19960505 1360.44502 1365.61626 1365.96428 1365.26908
19960506 1360.51623 1365.68773 1366.01844 1365.37567
19960507 1360.58167 1365.75342 1366.05288 1365.45713
19960508 1360.60132 1365.77315 1366.12325 1365.42147
19960509 1360.61409 1365.78597 1366.10662 1365.46757
19960510 1360.52196 1365.69349 1366.02270 1365.37738
19960511 1360.47985 1365.65122 1365.96613 1365.33885
19960512 1360.47622 1365.64758 1365.97234 1365.32450
19960513 1360.48304 1365.65443 1365.98576 1365.32488
19960514 1360.54969 1365.72133 1366.02998 1365.40735
19960515 1360.54733 1365.71896 1366.07020 1365.36862
19960516 1360.62930 1365.80124 1366.10634 1365.51272
19960517 1360.62275 1365.79467 1366.11866 1365.47285
19960518 1360.57784 1365.74958 1366.08665 1365.42890
19960519 1360.47443 1365.64578 1366.02012 1365.27125
19960520 1360.40396 1365.57504 1365.94604 1365.20473
19960521 1360.37166 1365.54261 1365.91828 1365.16669
19960522 1360.38014 1365.55113 1365.92100 1365.17874
19960523 1360.37580 1365.54678 1365.91897 1365.17450
19960524 1360.37335 1365.54432 1365.88437 1365.21253
19960525 1360.37539 1365.54636 1365.89914 1365.19445
19960526 1360.38604 1365.55706 1365.91543 1365.19830
19960527 1360.34918 1365.52005 1365.90757 1365.13185
