 51  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available at OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_90.dat or virgo_tsi_h_v4_90.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO (Wm-2)
;3rd col: TSI DIARAD level 2 (Wm-2)
;4th col: TSI PMO6-V level 2 (Wm-2)
;5th col: TSI DIARAD level 1.8 (Wm-2)
;6th col: TSI PMO6-V level 1.8 (Wm-2)
;format (i4,2i2.2,5f11.5)
;Col 2-6 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Oct 25 2001
;Version: 4.90
;                   level 2.0                  level 1.8
;           VIRGO     DIARAD     PMO6V      DIARAD     PMO6V
19960118 1365.44275  -99.00000 1364.91724  -99.00000 1365.10571
19960119 1365.52136  -99.00000 1364.99609  -99.00000 1365.19104
19960120 1365.52612  -99.00000 1365.00098  -99.00000 1365.20056
19960121 1365.50598  -99.00000 1364.98083  -99.00000 1365.18335
19960122 1365.48938  -99.00000 1364.96399  -99.00000 1365.16882
19960123 1365.54187  -99.00000 1365.01648  -99.00000 1365.22180
19960124 1365.56604  -99.00000 1365.04016  -99.00000 1365.24609
19960125 1365.59094  -99.00000 1365.06458  -99.00000 1365.27173
19960126 1365.55920  -99.00000 1365.03247  -99.00000 1365.24194
19960127  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 1365.56421  -99.00000 1365.03723  -99.00000 1365.25085
19960129 1365.54626  -99.00000 1365.01941  -99.00000 1365.23633
19960130 1365.53943 1366.05811 1365.01978 1366.08789 1365.23962
19960131 1365.53772 1366.05798 1365.01685 1366.08862 1365.23926
19960201 1365.54321 1366.06616 1365.02014 1366.09790 1365.24536
19960202 1365.52454 1366.04639 1365.00159 1366.07898 1365.22949
19960203 1365.46936 1365.99451 1364.94495 1366.02820 1365.17517
19960204 1365.41064 1365.93494 1364.88647 1365.96948 1365.11902
19960205 1365.38037 1365.90869 1364.85132 1365.94421 1365.08606
19960206 1365.37939 1365.91235 1364.84741 1365.94897 1365.08423
19960207 1365.37598 1365.91577 1364.84082 1365.95349 1365.07983
19960208 1365.33057 1365.85400 1364.80420 1365.89282 1365.04529
19960209 1365.33044 1365.85266 1364.80615 1365.89246 1365.04932
19960210 1365.34546 1365.87598 1364.81409 1365.91699 1365.05945
19960211 1365.29553 1365.82397  -99.00000 1365.86609  -99.00000
19960212 1365.27710 1365.80530  -99.00000 1365.84863  -99.00000
19960213 1365.30261 1365.83105  -99.00000 1365.87561  -99.00000
19960214 1365.27087 1365.79956  -99.00000 1365.84521  -99.00000
19960215 1365.28345 1365.81177  -99.00000 1365.85803  -99.00000
19960216 1365.30896 1365.83655  -99.00000 1365.88330  -99.00000
19960217 1365.30640 1365.83350  -99.00000 1365.88074  -99.00000
19960218 1365.34631 1365.87341  -99.00000 1365.92151  -99.00000
19960219 1365.35071 1365.87793  -99.00000 1365.92676  -99.00000
19960220 1365.42297 1365.95044  -99.00000 1366.00037  -99.00000
19960221 1365.45850 1365.98608  -99.00000 1366.03711  -99.00000
19960222 1365.48206 1365.97766 1365.01489 1366.02966 1365.27490
19960223 1365.48657 1365.98608 1364.98706 1366.03931 1365.26233
19960224 1365.45386 1365.96606 1364.94739 1366.02051 1365.22974
19960225 1365.44312 1365.95154 1364.93469 1366.00720 1365.21448
19960226 1365.44934 1365.96680 1364.93579 1366.02380 1365.21167
19960227 1365.47559 1365.99304 1364.95691 1366.05176 1365.23364
19960228 1365.46948 1365.97351 1364.95215 1366.03442 1365.22961
19960229 1365.40723 1365.92578 1364.88867 1365.98816 1365.16687
19960301 1365.38025 1365.90625 1364.85803 1365.97009 1365.13721
19960302 1365.34937 1365.89014 1364.80847 1365.95532 1365.08899
19960303 1365.33569 1365.86450 1364.81042 1365.93103 1365.09241
19960304 1365.31323 1365.88123 1364.74524 1365.94873 1365.02856
19960305 1365.30969 1365.87622 1364.73413 1365.94458 1365.01941
19960306 1365.33276 1365.88684 1364.77856 1365.95593 1365.06567
19960307 1365.33447 1365.89233 1364.77466 1365.96204 1365.06348
19960308 1365.33862 1365.84619 1364.83093 1365.91650 1365.12146
19960309 1365.30054 1365.82239 1364.77869 1365.89343 1365.07056
19960310 1365.30420 1365.81763 1364.79089 1365.88989 1365.08325
19960311 1365.29333 1365.83289 1364.75232 1365.90662 1365.04456
19960312 1365.27136 1365.79968 1364.74304 1365.87463 1365.03540
19960313 1365.23206 1365.76477 1364.69983 1365.84045 1364.99268
19960314 1365.25977 1365.79370 1364.72571 1365.86987 1365.01917
19960315 1365.31714 1365.84155 1364.79297 1365.91821 1365.08679
19960316 1365.34314 1365.87891 1364.80750 1365.95593 1365.10156
19960317 1365.38660 1365.91443 1364.86060 1365.99194 1365.15466
19960318 1365.38916 1365.93176 1364.84668 1366.00952 1365.14087
19960319 1365.39331 1365.92822 1364.86353 1366.00623 1365.15833
19960320 1365.37109 1365.91309 1364.82922 1365.99109 1365.12463
19960321 1365.35962 1365.88538 1364.83167 1365.96350 1365.12805
19960322 1365.23474 1365.78735 1364.68225 1365.86584 1364.97986
19960323 1365.22021 1365.77576 1364.67041 1365.85474 1364.96948
19960324 1365.24268 1365.79199 1364.69348 1365.87146 1364.99402
19960325 1365.29797 1365.83740 1364.75232 1365.91760 1365.05432
19960326 1365.33032 1365.82227 1364.83850 1365.90295 1365.14185
19960327 1365.35339 1365.88928  -99.00000 1365.97095  -99.00000
19960328 1365.38782 1365.92297  -99.00000 1366.00525  -99.00000
19960329 1365.37988 1365.91284 1364.85266 1365.99585 1365.16345
19960330 1365.33435 1365.87024 1364.79858 1365.95386 1365.11182
19960331 1365.35376 1365.88464 1364.82434 1365.96899 1365.13953
19960401 1365.34680 1365.89478 1364.79895 1365.97986 1365.11560
19960402 1365.36133 1365.90271 1364.82666 1365.98853 1365.14478
19960403 1365.38110 1365.92102 1364.84436 1366.00757 1365.16345
19960404 1365.39966 1365.93884  -99.00000 1366.02612  -99.00000
19960405 1365.39185 1365.93433 1364.85193 1366.02209 1365.17346
