 51  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_902.dat or virgo_tsi_h_v4_902.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO (Wm-2)
;3rd col: TSI DIARAD level 2 (Wm-2)
;4th col: TSI PMO6-V level 2 (Wm-2)
;5th col: TSI DIARAD level 1.8 (Wm-2)
;6th col: TSI PMO6-V level 1.8 (Wm-2)
;format (i4,2i2.2,5f11.5)
;Col 2-6 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Feb 24 2002
;Version: 4.902; the suffix 02 means updated from 4.90
;                   level 2.0                  level 1.8
;           VIRGO     DIARAD     PMO6V      DIARAD     PMO6V
19960130 1365.63660 1366.09814 1365.19763 1366.08850 1365.24060
19960131 1365.63611 1366.09814 1365.19482 1366.08923 1365.24036
19960201 1365.64404 1366.10645 1365.19824 1366.09851 1365.24658
19960202 1365.62439 1366.08667 1365.17993 1366.07959 1365.23071
19960203 1365.57239 1366.03491 1365.12341 1366.02869 1365.17651
19960204 1365.51257 1365.97534 1365.06519 1365.97009 1365.12036
19960205 1365.48621 1365.94910 1365.03015 1365.94482 1365.08740
19960206 1365.48987 1365.95288 1365.02637 1365.94946 1365.08569
19960207 1365.49329 1365.95642 1365.02002 1365.95398 1365.08130
19960208 1365.43152 1365.89465 1364.98352 1365.89331 1365.04688
19960209 1365.43030 1365.89355 1364.98560 1365.89294 1365.05103
19960210 1365.45398 1365.91687 1364.99365 1365.91748 1365.06116
19960211 1365.40210 1365.86499  -99.00000 1365.86658  -99.00000
19960212 1365.38330 1365.84631  -99.00000 1365.84912  -99.00000
19960213 1365.40918 1365.87219  -99.00000 1365.87610  -99.00000
19960214 1365.37793 1365.84082  -99.00000 1365.84570  -99.00000
19960215 1365.39038 1365.85303  -99.00000 1365.85840  -99.00000
19960216 1365.41553 1365.87793  -99.00000 1365.88367  -99.00000
19960217 1365.41260 1365.87476  -99.00000 1365.88110  -99.00000
19960218 1365.45264 1365.91467  -99.00000 1365.92188  -99.00000
19960219 1365.45715 1365.91895  -99.00000 1365.92725  -99.00000
19960220 1365.52979 1365.99121  -99.00000 1366.00073  -99.00000
19960221 1365.56567 1366.02686  -99.00000 1366.03748  -99.00000
19960222 1365.55737 1366.01831 1365.19519 1366.03003 1365.27698
19960223 1365.56616 1366.02686 1365.16736 1366.03967 1365.26428
19960224 1365.54651 1366.00696 1365.12805 1366.02087 1365.23181
19960225 1365.53259 1365.99268 1365.11548 1366.00757 1365.21667
19960226 1365.54846 1366.00818 1365.11707 1366.02417 1365.21387
19960227 1365.57532 1366.03479 1365.13843 1366.05212 1365.23584
19960228 1365.55627 1366.01575 1365.13403 1366.03479 1365.23193
19960229 1365.50879 1365.96814 1365.07104 1365.98840 1365.16931
19960301 1365.48950 1365.94897 1365.04077 1365.97034 1365.13965
19960302 1365.47388 1365.93323 1364.99158 1365.95557 1365.09143
19960303 1365.44861 1365.90796 1364.99390 1365.93127 1365.09497
19960304 1365.46570 1365.92480 1364.92896 1365.94897 1365.03125
19960305 1365.46118 1365.92017 1364.91821 1365.94482 1365.02222
19960306 1365.47205 1365.93091 1364.96277 1365.95618 1365.06848
19960307 1365.47754 1365.93640 1364.95886 1365.96228 1365.06628
19960308 1365.43152 1365.89038 1365.01526 1365.91675 1365.12439
19960309 1365.40784 1365.86658 1364.96313 1365.89368 1365.07349
19960310 1365.40344 1365.86230 1364.97571 1365.89014 1365.08618
19960311 1365.41919 1365.87805 1364.93774 1365.90686 1365.04761
19960312 1365.38635 1365.84521 1364.92896 1365.87476 1365.03845
19960313 1365.35120 1365.81030 1364.88574 1365.84058 1364.99585
19960314 1365.37988 1365.83899 1364.91138 1365.87012 1365.02222
19960315 1365.42749 1365.88660 1364.97827 1365.91833 1365.08997
19960316 1365.46423 1365.92358 1364.99255 1365.95605 1365.10474
19960317 1365.49915 1365.95874 1365.04517 1365.99207 1365.15784
19960318 1365.51587 1365.97559 1365.03088 1366.00964 1365.14417
19960319 1365.51196 1365.97180 1365.04749 1366.00635 1365.16162
19960320 1365.49634 1365.95630 1365.01282 1365.99121 1365.12805
19960321 1365.46838 1365.92834 1365.01501 1365.96362 1365.13147
19960322 1365.37024 1365.83032 1364.86548 1365.86597 1364.98328
19960323 1365.35852 1365.81873 1364.85376 1365.85474 1364.97302
19960324 1365.37476 1365.83496 1364.87683 1365.87146 1364.99756
19960325 1365.42017 1365.88049 1364.93567 1365.91760 1365.05786
19960326 1365.40503 1365.86523 1365.02185 1365.90295 1365.14539
19960327 1365.47192 1365.93237  -99.00000 1365.97095  -99.00000
19960328 1365.50562 1365.96606  -99.00000 1366.00525  -99.00000
19960329 1365.49548 1365.95605 1365.03625 1365.99585 1365.16699
19960330 1365.45276 1365.91333 1364.98206 1365.95386 1365.11548
19960331 1365.46704 1365.92761 1365.00781 1365.96887 1365.14319
19960401 1365.47717 1365.93762 1364.98218 1365.97986 1365.11938
19960402 1365.48486 1365.94543 1365.00977 1365.98840 1365.14844
19960403 1365.50305 1365.96362 1365.02747 1366.00745 1365.16724
19960404 1365.52075 1365.98132  -99.00000 1366.02600  -99.00000
19960405 1365.51599 1365.97656 1365.03467 1366.02197 1365.17737
19960406 1365.51196 1365.97266 1364.94922 1366.01892 1365.09375
19960407 1365.54236 1366.00305 1364.92834 1366.04993 1365.07507
19960408 1365.52380 1365.98462 1364.92065 1366.03223 1365.06934
19960409 1365.51428 1365.97510 1364.96008 1366.02344 1365.11023
19960410 1365.51038 1365.97131 1364.95239 1366.02039 1365.10388
19960411 1365.55090 1366.01184 1365.03748 1366.06165 1365.19019
19960412 1365.54810 1366.00903 1365.01453 1366.05945 1365.16858
19960413 1365.54663 1366.00769 1365.08301 1366.05872 1365.23840
19960414 1365.52832 1365.98950 1365.07056 1366.04089 1365.22717
19960415 1365.46838 1365.92969  -99.00000 1365.98132  -99.00000
19960416 1365.48096 1365.94226 1365.23547 1365.99414 1365.39685
