 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available at OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_90.dat or virgo_tsi_h_v4_90.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD)
;2nd col: Mean Time (hhmmss) 
;3rd col: TSI VIRGO (Wm-2) eff. reading is 10 sec before indicated time
;4th col: TSI DIARAD level 2.0 (Wm-2) eff. reading is 95 sec before indicated time
;5th col: TSI PMO6-V level 2.0 (Wm-2) eff. reading is 10 sec before indicated time
;6th col: TSI DIARAD level 1.8 (Wm-2) eff. reading is 95 sec before indicated time
;7th col: TSI PMO6-V level 1.8 (Wm-2) eff. reading is 10 sec before indicated time
;format  (i4,2i2.2,1x,3i2.2,5f11.5)
;Col 3-7 contain hourly averages.
;Missing values are indicated by -99.
;File created Oct 25 2001
;Version: 4.90
;                           level 2.0                  level 1.8
;                 VIRGO      DIARAD     PMO6V      DIARAD     PMO6V
19960118 002920 1365.29440  -99.00000 1364.76885  -99.00000 1364.95357
19960118 012920 1365.34318  -99.00000 1364.81763  -99.00000 1365.00270
19960118 022920 1365.39200  -99.00000 1364.86644  -99.00000 1365.05185
19960118 032920 1365.41736  -99.00000 1364.89179  -99.00000 1365.07755
19960118 042920 1365.40855  -99.00000 1364.88299  -99.00000 1365.06909
19960118 052920 1365.44222  -99.00000 1364.91666  -99.00000 1365.10309
19960118 062920 1365.46875  -99.00000 1364.94318  -99.00000 1365.12995
19960118 072920 1365.45515  -99.00000 1364.92959  -99.00000 1365.11669
19960118 082920 1365.40043  -99.00000 1364.87490  -99.00000 1365.06233
19960118 092920 1365.39147  -99.00000 1364.86595  -99.00000 1365.05370
19960118 102920 1365.44389  -99.00000 1364.91836  -99.00000 1365.10644
19960118 112920 1365.45637  -99.00000 1364.93085  -99.00000 1365.11924
19960118 122920 1365.47468  -99.00000 1364.94915  -99.00000 1365.13786
19960118 132920 1365.44878  -99.00000 1364.92328  -99.00000 1365.11230
19960118 142920 1365.49131  -99.00000 1364.96580  -99.00000 1365.15512
19960118 152920 1365.48387  -99.00000 1364.95838  -99.00000 1365.14800
19960118 162920 1365.47865  -99.00000 1364.95317  -99.00000 1365.14309
19960118 172920 1365.47031  -99.00000 1364.94484  -99.00000 1365.13506
19960118 182920 1365.44414  -99.00000 1364.91869  -99.00000 1365.10921
19960118 192920 1365.47516  -99.00000 1364.94971  -99.00000 1365.14052
19960118 202920 1365.49281  -99.00000 1364.96737  -99.00000 1365.15846
19960118 212920 1365.47034  -99.00000 1364.94492  -99.00000 1365.13630
19960118 222920 1365.47722  -99.00000 1364.95181  -99.00000 1365.14346
19960118 232920 1365.50515  -99.00000 1364.97974  -99.00000 1365.17167
19960119 002920 1365.51591  -99.00000 1364.99052  -99.00000 1365.18272
19960119 012920 1365.54792  -99.00000 1365.02252  -99.00000 1365.21500
19960119 022920 1365.54647  -99.00000 1365.02108  -99.00000 1365.21383
19960119 032920 1365.52663  -99.00000 1365.00127  -99.00000 1365.19428
19960119 042920 1365.49355  -99.00000 1364.96822  -99.00000 1365.16149
19960119 052920 1365.50725  -99.00000 1364.98193  -99.00000 1365.17546
19960119 062920 1365.51069  -99.00000 1364.98538  -99.00000 1365.17916
19960119 072920 1365.55538  -99.00000 1365.03007  -99.00000 1365.22411
19960119 082920 1365.52360  -99.00000 1364.99832  -99.00000 1365.19260
19960119 092920 1365.50254  -99.00000 1364.97728  -99.00000 1365.17181
19960119 102920 1365.49672  -99.00000 1364.97149  -99.00000 1365.16626
19960119 112920 1365.52278  -99.00000 1364.99755  -99.00000 1365.19256
19960119 122920 1365.54198  -99.00000 1365.01675  -99.00000 1365.21200
19960119 132920 1365.54858  -99.00000 1365.02336  -99.00000 1365.21884
