 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_901.dat or virgo_tsi_h_v4_901.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD)
;2nd col: Mean Time (hhmmss) 
;3rd col: TSI VIRGO (Wm-2) eff. reading is 10 sec before indicated time
;4th col: TSI DIARAD level 2.0 (Wm-2) eff. reading is 95 sec before indicated time
;5th col: TSI PMO6-V level 2.0 (Wm-2) eff. reading is 10 sec before indicated time
;6th col: TSI DIARAD level 1.8 (Wm-2) eff. reading is 95 sec before indicated time
;7th col: TSI PMO6-V level 1.8 (Wm-2) eff. reading is 10 sec before indicated time
;format  (i4,2i2.2,1x,3i2.2,5f11.5)
;Col 3-7 contain hourly averages.
;Missing values are indicated by -99.
;File created Dec 22 2001
;Version: 4.901; the suffix 01 means updated from 4.90
;                           level 2.0                  level 1.8
;                 VIRGO      DIARAD     PMO6V      DIARAD     PMO6V
19960130 002920 1365.66616 1366.12331 1365.21907 1366.11842 1365.25576
19960130 012920 1365.61237 1366.06952 1365.20489 1366.06466 1365.24168
19960130 022920 1365.64941 1366.10659 1365.18308 1366.10176 1365.21998
19960130 032920 1365.64805 1366.10525 1365.19377 1366.10046 1365.23077
19960130 042920 1365.64924 1366.10646 1365.22785 1366.10170 1365.26495
19960130 052920 1365.65072 1366.10797 1365.22299 1366.10324 1365.26019
19960130 062920 1365.66295 1366.12023 1365.23024 1366.11553 1365.26755
19960130 072920 1365.61901 1366.07629 1365.21636 1366.07163 1365.25376
19960130 082920 1365.63255 1366.08985 1365.19710 1366.08523 1365.23460
19960130 092920 1365.60990 1366.06721 1365.19330 1366.06263 1365.23091
19960130 102920 1365.63865 1366.09599 1365.20574 1366.09144 1365.24345
19960130 112920 1365.64492 1366.10229 1365.18178 1366.09777 1365.21960
19960130 122920 1365.62756 1366.08495 1365.19213 1366.08046 1365.23005
19960130 132920 1365.62076 1366.07816 1365.19600 1366.07371 1365.23403
19960130 142920 1365.63135 1366.08877 1365.19568 1366.08436 1365.23380
19960130 152920 1365.62608 1366.08352 1365.18851 1366.07914 1365.22674
19960130 162920 1365.64102 1366.09848 1365.18651 1366.09414 1365.22485
19960130 172920 1365.63532 1366.09280 1365.19220 1366.08849 1365.23064
19960130 182920 1365.62585 1366.08334 1365.20121 1366.07907 1365.23975
19960130 192920 1365.62570 1366.08321 1365.18326 1366.07897 1365.22190
19960130 202920 1365.61322 1366.07074 1365.18104 1366.06653 1365.21979
19960130 212920 1365.65328 1366.11083 1365.22746 1366.10666 1365.26632
19960130 222920 1365.65772 1366.11529 1365.22682 1366.11116 1365.26578
19960130 232920 1365.65516 1366.11274 1365.19613 1366.10865 1365.23520
19960131 002920 1365.61656 1366.07415 1365.17258 1366.07009 1365.21175
19960131 012920 1365.62292 1366.08053 1365.17922 1366.07650 1365.21849
19960131 022920 1365.63485 1366.09248 1365.18683 1366.08849 1365.22621
19960131 032920 1365.60865 1366.06629 1365.16869 1366.06233 1365.20817
19960131 042920 1365.62744 1366.08510 1365.19405 1366.08118 1365.23364
19960131 052920 1365.62438 1366.08205 1365.17407 1366.07817 1365.21377
19960131 062920 1365.64012 1366.09782 1365.20292 1366.09397 1365.24272
